svm_linear,0.59,0.59
svm_polynomial,0.67,0.66
svm_rbf,0.9567,0.96
logistic,0.58,0.59
knn,0.9367,0.945
decision_tree,0.96,1.0
random_forest,0.9566666666666667,0.975
